source_file,timestamp,person_index,face_yaw,face_pitch,face_box_top,face_box_left
Measureyes_0924_01_response_0001.json,1167,2,,,,
Measureyes_0924_01_response_0001.json,1167,1,,,,
Measureyes_0924_01_response_0001.json,1167,8,,,,
Measureyes_0924_01_response_0001.json,1251,1,,,,
Measureyes_0924_01_response_0001.json,1251,5,,,,
Measureyes_0924_01_response_0001.json,1251,8,,,,
Measureyes_0924_01_response_0001.json,1251,13,,,,
Measureyes_0924_01_response_0001.json,1251,14,,,,
Measureyes_0924_01_response_0001.json,1251,16,,,,
Measureyes_0924_01_response_0001.json,1251,17,,,,
Measureyes_0924_01_response_0001.json,1292,17,,,,
Measureyes_0924_01_response_0001.json,1292,16,,,,
Measureyes_0924_01_response_0001.json,1292,13,,,,
Measureyes_0924_01_response_0001.json,1292,14,,,,
Measureyes_0924_01_response_0001.json,1292,5,,,,
Measureyes_0924_01_response_0001.json,1292,1,,,,
Measureyes_0924_01_response_0001.json,1292,8,,,,
Measureyes_0924_01_response_0001.json,1376,17,,,,
Measureyes_0924_01_response_0001.json,1376,16,,,,
Measureyes_0924_01_response_0001.json,1376,15,,,,
Measureyes_0924_01_response_0001.json,1376,13,,,,
Measureyes_0924_01_response_0001.json,1376,14,,,,
Measureyes_0924_01_response_0001.json,1376,8,,,,
Measureyes_0924_01_response_0001.json,1376,5,,,,
Measureyes_0924_01_response_0001.json,1376,1,,,,
Measureyes_0924_01_response_0001.json,1376,9,,,,
Measureyes_0924_01_response_0001.json,1459,18,,,,
Measureyes_0924_01_response_0001.json,1459,17,,,,
Measureyes_0924_01_response_0001.json,1459,16,,,,
Measureyes_0924_01_response_0001.json,1459,15,,,,
Measureyes_0924_01_response_0001.json,1459,13,,,,
Measureyes_0924_01_response_0001.json,1459,14,,,,
Measureyes_0924_01_response_0001.json,1459,8,,,,
Measureyes_0924_01_response_0001.json,1459,1,,,,
Measureyes_0924_01_response_0001.json,1459,9,,,,
Measureyes_0924_01_response_0001.json,1459,5,,,,
Measureyes_0924_01_response_0001.json,1459,2,,,,
Measureyes_0924_01_response_0001.json,1501,18,,,,
Measureyes_0924_01_response_0001.json,1501,17,,,,
Measureyes_0924_01_response_0001.json,1501,15,,,,
Measureyes_0924_01_response_0001.json,1501,13,,,,
Measureyes_0924_01_response_0001.json,1501,14,,,,
Measureyes_0924_01_response_0001.json,1501,8,,,,
Measureyes_0924_01_response_0001.json,1501,5,,,,
Measureyes_0924_01_response_0001.json,1501,2,,,,
Measureyes_0924_01_response_0001.json,1501,1,,,,
Measureyes_0924_01_response_0001.json,1501,9,,,,
Measureyes_0924_01_response_0001.json,1584,15,,,,
Measureyes_0924_01_response_0001.json,1584,18,,,,
Measureyes_0924_01_response_0001.json,1584,19,,,,
Measureyes_0924_01_response_0001.json,1584,17,,,,
Measureyes_0924_01_response_0001.json,1584,14,,,,
Measureyes_0924_01_response_0001.json,1584,5,,,,
Measureyes_0924_01_response_0001.json,1584,9,,,,
Measureyes_0924_01_response_0001.json,1584,8,,,,
Measureyes_0924_01_response_0001.json,1584,6,,,,
Measureyes_0924_01_response_0001.json,1584,13,,,,
Measureyes_0924_01_response_0001.json,1584,2,,,,
Measureyes_0924_01_response_0001.json,1626,14,,,,
Measureyes_0924_01_response_0001.json,1626,19,,,,
Measureyes_0924_01_response_0001.json,1626,18,,,,
Measureyes_0924_01_response_0001.json,1626,17,,,,
Measureyes_0924_01_response_0001.json,1626,15,,,,
Measureyes_0924_01_response_0001.json,1626,9,,,,
Measureyes_0924_01_response_0001.json,1626,8,,,,
Measureyes_0924_01_response_0001.json,1626,6,,,,
Measureyes_0924_01_response_0001.json,1626,5,,,,
Measureyes_0924_01_response_0001.json,1626,2,,,,
Measureyes_0924_01_response_0001.json,1626,13,,,,
Measureyes_0924_01_response_0001.json,1710,19,,,,
Measureyes_0924_01_response_0001.json,1710,17,,,,
Measureyes_0924_01_response_0001.json,1710,16,,,,
Measureyes_0924_01_response_0001.json,1710,15,,,,
Measureyes_0924_01_response_0001.json,1710,14,,,,
Measureyes_0924_01_response_0001.json,1710,18,,,,
Measureyes_0924_01_response_0001.json,1710,9,,,,
Measureyes_0924_01_response_0001.json,1710,8,,,,
Measureyes_0924_01_response_0001.json,1710,6,,,,
Measureyes_0924_01_response_0001.json,1710,5,,,,
Measureyes_0924_01_response_0001.json,1710,13,,,,
Measureyes_0924_01_response_0001.json,1793,19,,,,
Measureyes_0924_01_response_0001.json,1793,17,,,,
Measureyes_0924_01_response_0001.json,1793,16,,,,
Measureyes_0924_01_response_0001.json,1793,15,,,,
Measureyes_0924_01_response_0001.json,1793,9,,,,
Measureyes_0924_01_response_0001.json,1793,8,,,,
Measureyes_0924_01_response_0001.json,1793,6,,,,
